alpha CL CD
-14.28 -0.654 0.1817
-13.05 -0.666 0.1614
-12.09 -0.680 0.1484
-11.12 -0.683 0.1327
-10.07 -0.676 0.1142
-9.09 -0.647 0.0955
-8.02 -0.579 0.0726
-6.95 -0.505 0.0506
-6.06 -0.439 0.0378
-4.90 -0.364 0.0288
-4.01 -0.302 0.0245
-3.02 -0.223 0.0196
-1.95 -0.132 0.0181
-0.88 -0.065 0.0182
0.10 0.008 0.0182
1.17 0.079 0.0206
2.07 0.152 0.0219
3.15 0.265 0.0277
4.13 0.340 0.0341
5.20 0.408 0.0422
6.18 0.480 0.0549
6.99 0.534 0.0700
8.33 0.634 0.1005
9.21 0.677 0.1214
10.27 0.691 0.1391
11.33 0.695 0.1581
12.29 0.686 0.1711
13.17 0.675 0.1827
14.31 0.666 0.1964
15.28 0.661 0.2092
16.33 0.652 0.2212
17.03 0.651 0.2304
18.17 0.649 0.2447
19.23 0.650 0.2573
20.20 0.655 0.2716
21.25 0.657 0.2845
22.31 0.664 0.3001
23.27 0.669 0.3147
24.33 0.678 0.3326
25.21 0.688 0.3496
26.27 0.688 0.3634
27.24 0.695 0.3822
28.20 0.698 0.3979
29.26 0.703 0.4175
30.23 0.708 0.4350
30.05 0.703 0.4283
29.08 0.699 0.4109
27.94 0.693 0.3893
27.06 0.692 0.3769
26.09 0.689 0.3618
25.04 0.685 0.3461
24.07 0.675 0.3260
22.92 0.667 0.3095
22.04 0.659 0.2936
21.07 0.655 0.2818
20.02 0.653 0.2659
19.05 0.654 0.2554
17.91 0.650 0.2399
16.94 0.652 0.2277
16.07 0.659 0.2166
14.93 0.664 0.2032
14.05 0.675 0.1924
12.99 0.675 0.1788
12.03 0.689 0.1637
11.07 0.696 0.1514
10.01 0.689 0.1314
9.04 0.668 0.1141
8.06 0.612 0.0896
6.90 0.524 0.0641
5.91 0.457 0.0486
5.02 0.392 0.0386
3.86 0.317 0.0294
3.15 0.264 0.0244
1.80 0.144 0.0180
0.82 0.082 0.0166
-0.07 0.019 0.0158
-1.14 -0.057 0.0140
-2.12 -0.126 0.0162
-3.11 -0.219 0.0174
-4.01 -0.294 0.0219
-4.90 -0.365 0.0286
-6.33 -0.466 0.0429
-7.22 -0.534 0.0586
-8.21 -0.611 0.0816
-9.27 -0.665 0.1041
-10.24 -0.681 0.1225
-11.21 -0.683 0.1375
-12.26 -0.675 0.1539
-13.23 -0.662 0.1658
-14.28 -0.657 0.1812
