alpha CL CD
14.98 -0.688 0.1860
-13.75 -0.674 0.1640
-12.78 -0.648 0.1436
-11.81 -0.617 0.1249
-10.66 -0.570 0.1003
-9.78 -0.519 0.0831
-8.98 -0.471 0.0649
-7.74 -0.407 0.0449
-6.77 -0.355 0.0339
-5.71 -0.297 0.0275
-4.74 -0.247 0.0210
-3.68 -0.204 0.0170
-2.70 -0.135 0.0123
-1.73 -0.085 0.0121
-0.67 -0.031 0.0122
0.30 0.014 0.0117
1.36 0.060 0.0125
2.34 0.113 0.0152
3.40 0.164 0.0179
4.19 0.224 0.0239
5.43 0.293 0.0300
6.32 0.344 0.0378
7.46 0.398 0.0460
8.35 0.455 0.0559
9.06 0.489 0.0673
10.47 0.572 0.0963
11.45 0.621 0.1185
12.24 0.659 0.1385
13.48 0.695 0.1652
14.18 0.712 0.1805
15.41 0.735 0.2066
16.47 0.732 0.2218
17.43 0.731 0.2378
18.40 0.733 0.2540
19.37 0.730 0.2674
20.42 0.733 0.2841
21.21 0.734 0.2943
22.36 0.728 0.3114
23.41 0.729 0.3262
24.47 0.719 0.3361
25.34 0.710 0.3469
26.13 0.694 0.3511
27.10 0.686 0.3591
28.15 0.689 0.3777
29.47 0.686 0.3928
29.47 0.681 0.3912
28.24 0.683 0.3755
27.36 0.680 0.3651
26.31 0.693 0.3511
25.16 0.701 0.3385
24.46 0.698 0.3275
23.15 0.726 0.3213
22.09 0.732 0.3083
21.21 0.733 0.2940
20.25 0.734 0.2802
19.19 0.729 0.2631
18.40 0.726 0.2485
17.35 0.728 0.2345
16.20 0.732 0.2162
15.41 0.733 0.2033
14.09 0.717 0.1755
13.12 0.689 0.1524
12.15 0.650 0.1309
11.36 0.617 0.1128
10.12 0.548 0.0869
9.15 0.493 0.0637
8.17 0.442 0.0501
7.11 0.391 0.0403
6.14 0.331 0.0330
5.17 0.284 0.0251
4.20 0.232 0.0189
3.04 0.157 0.0139
2.25 0.108 0.0107
1.10 0.054 0.0095
0.13 0.007 0.0061
-0.93 -0.037 0.0085
-1.99 -0.091 0.0093
-2.88 -0.145 0.0102
-3.94 -0.211 0.0155
-4.91 -0.265 0.0205
-5.88 -0.311 0.0261
-6.95 -0.373 0.0360
-8.01 -0.427 0.0465
-8.63 -0.467 0.0613
-9.95 -0.535 0.0901
-10.75 -0.570 0.1011
-11.90 -0.623 0.1287
-12.96 -0.659 0.1491
-13.93 -0.680 0.1708
-14.98 -0.686 0.1878
