alpha CL CD
-14.73 -0.688 0.1886
-13.76 -0.684 0.1734
-12.79 -0.690 0.1555
-11.83 -0.686 0.1382
-10.77 -0.658 0.1171
-9.79 -0.624 0.0977
-8.73 -0.567 0.0747
-7.75 -0.497 0.0525
-6.78 -0.435 0.0391
-5.71 -0.369 0.0306
-4.73 -0.316 0.0252
-3.67 -0.248 0.0203
-2.60 -0.158 0.0149
-1.62 -0.102 0.0137
-0.56 -0.036 0.0133
0.33 0.021 0.0132
1.31 0.078 0.0163
2.37 0.143 0.0180
3.18 0.211 0.0205
4.42 0.299 0.0287
5.13 0.351 0.0341
6.38 0.426 0.0444
7.44 0.499 0.0620
8.51 0.572 0.0869
9.22 0.612 0.1017
10.46 0.665 0.1300
11.43 0.692 0.1493
12.49 0.705 0.1677
13.45 0.697 0.1820
14.42 0.689 0.1964
15.47 0.682 0.2105
16.53 0.678 0.2233
17.41 0.675 0.2349
18.46 0.676 0.2487
19.43 0.676 0.2615
20.40 0.683 0.2750
21.36 0.686 0.2912
22.42 0.686 0.3043
23.47 0.684 0.3197
24.44 0.685 0.3313
25.41 0.691 0.3491
26.46 0.690 0.3617
27.43 0.695 0.3798
28.48 0.698 0.3931
29.45 0.698 0.4084
29.45 0.692 0.4076
28.31 0.696 0.3896
27.16 0.694 0.3744
26.20 0.689 0.3588
25.32 0.688 0.3465
24.26 0.685 0.3305
23.30 0.683 0.3152
22.24 0.685 0.3015
21.19 0.682 0.2875
20.22 0.680 0.2734
19.43 0.679 0.2638
18.28 0.675 0.2453
17.41 0.677 0.2366
16.26 0.685 0.2215
15.30 0.686 0.2058
14.16 0.693 0.1927
13.28 0.701 0.1771
12.31 0.701 0.1628
11.17 0.684 0.1411
10.28 0.659 0.1230
9.13 0.609 0.0983
8.24 0.555 0.0789
7.26 0.483 0.0552
6.38 0.433 0.0426
5.13 0.354 0.0325
4.25 0.297 0.0261
3.18 0.218 0.0189
2.11 0.143 0.0151
1.04 0.078 0.0128
0.16 0.025 0.0100
-0.82 -0.038 0.0100
-1.80 -0.102 0.0102
-2.95 -0.169 0.0140
-3.84 -0.249 0.0179
-5.00 -0.321 0.0243
-5.89 -0.382 0.0311
-6.78 -0.439 0.0383
-7.84 -0.510 0.0564
-8.91 -0.582 0.0789
-10.06 -0.637 0.1039
-10.95 -0.668 0.1219
-11.91 -0.686 0.1408
-12.97 -0.694 0.1602
-13.94 -0.689 0.1783
-14.81 -0.678 0.1866
